form,syl_count,meaning,derivation_mask,noun,verb,adjective,adverb,consensus_prefix,is_function_word,is_compound,compound_type,notes
kiroparam,4,"article, a written piece",N,kiroparam,,,,e-,false,true,mono,"kiro (text) + param (result) = lexicalised article. e- (crafted head, cf. tesar param)."
kiropar,3,"writing, the act/process of writing / to write",N,kiropar,kiropar,,,e-,false,true,mono,"kiro (text) + par (process). e- (process head, cf. tesakpar)."
kirotek,3,"pen, a writing instrument",N,kirotek,,,,e-,false,true,mono,kiro (text) + tek (tool). instrument. e- (crafted).
kira,2,"book, a bound volume",N,kira,,,,e-,false,false,,"kira- book subfamily head. e- (crafted artifact). Distinguish kiro (text). Near-collision kora/lira/okira (d=1, diff domains — tolerated)."
kiraruson,4,"chapter, a separate section of a book",N,kiraruson,,,,ae-,false,true,mono,kira (book) + ruson (separate) = separate part of book. ae- (ruso- family head-inherit).
kirapos,3,"library, a book-place",N,kirapos,,,,ae-,false,true,mono,kira (book) + poska (place/location head). location. ae- (earth).
kiramik,3,"library science, study of books",N,kiramik,,,,o-,false,true,mono,kira (book) + mik (study-of -ik). N-only discipline. o- (abstract head). mik not in pattern map → pattern supplied manually.
kiromik,3,"literary studies, literature as a studied discipline",N,kiromik,,,,o-,false,true,mono,"kiro (text) + mik (study-of). The discipline, distinct from kirowes (the body of works). o-."
kirowes,3,"literature, the body of written works",N,kirowes,,,,o-,false,true,mono,"kiro (text) + wes (-wes collective, ""the stuff of X""). Mono fused per -wes higher-priority rule. o-. Lexicalised cultural category (editorial: stored despite transparent -wes)."
kirosefon,4,"font, typeface",N,kirosefon,,,,o-,false,true,mono,"kir- family by onset but bare root (SEFON is not a stored root → not a kiro+sefon compound, cf. hilorus). o- (abstract style of text)."
kiratek,3,"printer, a printing machine",N,kiratek,,,,e-,false,true,mono,kira (book) + tek (instrument). e- crafted. Near-collision d=1 kirotek (pen) tolerated — parallel bases (kiro text / kira book).
thes,1,electricity / to electrify / electric,NVA,thes,thes,thess,,a-,false,false,,"thes- family head. 1-syl content root ending -s → added to S_FINAL_WHITELIST (mirrors fos/ice). a- (natural energy, cf. loger power). Near-collision thep (sleep, d=1, diff domain) tolerated."
theskira,3,"e-book, electric book",N,theskira,,,,e-,false,true,mono,thes (electricity) + kira (book). Descriptor compound. e- (book head).
thespiliu,3,"electric door, automatic door",N,thespiliu,,,,e-,false,true,mono,thes + piliu (door). Descriptor compound. e- (crafted — user override over door-head ae-). Transparent but deliberate coinage.
thestek,2,"electric equipment, electrical devices",N,thestek,,,,e-,false,true,mono,"thes + tek (instrument). e- crafted. Transparent general category, deliberate coinage."
thesau,2,lightning,N,thesau,,,,a-,false,false,,"Bare thes- family root (lightning = sky electricity). a-. Etymologised vs aura (sky) but au not a root → standalone. d=2 tesak/tesar (art), diff domain, tolerated."
thesis,2,"power generation, electricity generation",N,thesis,,,,a-,false,true,mono,thes + mlis (method-to -is). Consonant-final base thes fuses cleanly. a- (thes- family). mlis not in pattern map → pattern supplied manually.
lanko,2,"angle, a corner or bend / angular, having angles (not jagged/sharp)",NA,lanko,,lankos,,o-,false,false,,lan- shape family head. o-. A sense = angles-related only; jagged/sharp reserved for a future distinct root.
breso,2,circle / circular,NA,breso,,bresos,,o-,false,false,,"Geometric-figure root, o-. Accepted near-synonym (akaberat) with yre (round/moon) for ""circular""."
lanfo,2,"square / square, quadrangular",NA,lanfo,,lanfos,,o-,false,false,,"lan- shape family (with lanko angle; k/f sibling, carved family). o-."
rolanko,3,triangle / triangular,NA,rolanko,,rolankos,,o-,false,true,mono,ro (three) + lanko (angle) = three-angle. o-. Lexicalized basic shape.
sefon,2,"shape, form / to shape, to form / shaped, formed",NVA,sefon,sefon,sefons,,o-,false,false,,"Generic shape/form category, o-. Also the head of font: enables kirosefon = kiro+sefon (text-shape) — see kirosefon upgrade note."
elmin,2,cloud / cloudy,NA,elmin,,elmins,,i-,false,false,,"Atmospheric root, i- (cloud/weather family: hu wind, hupli rain, auron sky)."
augor,2,angel / angelic,NA,augor,,augors,,y-,false,false,,"Heavenly/divine being, y- (divine register: sym, siklatifor). Not aug(egin)+gor(good) compositionally."
epilo,3,"summary, overview / to summarize / summarised, condensed",NVA,epilo,epilo,epilos,,o-,false,false,,"Abstract concept root, o-. epilo- conclusion/summary family head."
epilobim,4,conclusion / to conclude / concluding,NVA,epilobim,epilobim,epilobims,,o-,false,true,mono,epilo + non-root tail -bim (single stored root epilo). o-.
epiloril,4,"epilogue, the closing section of a work",N,epiloril,,,,o-,false,true,mono,epilo + non-root tail -ril. Carve: epilogue (literary closing section) ≠ epilobim (general conclusion). o-.
romah,2,"passivity, passiveness / passive, inactive, receptive",NA,romah,,romahs,,o-,false,false,,Temperament quality; distinct from the grammar passive particle sy (by). o- (abstract quality).
sourom,2,"to receive / reception, the act of receiving",NV,sourom,sourom,,,o-,false,false,,Bare sou- give/receive family (with sounar give). User prefix o- (overrode e- lean). Unrelated to sou (continuation) homonym.
brostima,3,to protect / protection / protective,NVA,brostima,brostima,brostimas,,o-,false,false,,Proactive protection ≠ latif save/rescue. o- (abstract).
basto,2,"battle / to battle, to fight / combative, of battle",NVA,basto,basto,bastos,,a-,false,false,,"bas- combat family head. a- (combat register, cf. klur war a-). Single engagement ≠ klur (war)."
basma,2,"to attack / an attack, an assault / attacking, offensive",NVA,basma,basma,basmas,,a-,false,false,,bas- combat family. a- (shared-onset family).
basrom,2,defense / to defend / defensive,NVA,basrom,basrom,basroms,,a-,false,false,,bas- combat family. a-. Antonym pair with basma (attack).
aeter,2,"eternal, ever-lasting / eternity / eternally",NAD,aeter,,aeters,aeters,o-,false,false,,Time-cluster root (ime/imu/tlow o-). Timeless ≠ esaka always. o-.
irae,2,"wrath, rage, indignation / to rage, to fume / wrathful, indignant / wrathfully, indignantly",NVAD,irae,irae,iraes,iraes,a-,false,false,,Carve: hot/righteous wrath ≠ losga general anger. a- (anger register).
grase,2,"to confuse / confusion / confused, confusing",NVA,grase,grase,grases,,o-,false,false,,Abstract mental-state root. o-.
symrilsemik,4,"mythology, the study of myths",N,symrilsemik,,,,o-,false,true,mono,"sym (god) + rilse (legend) + mik (study-of). 3-root flat (symrilse myth is a compound, can't be a component). o-. mik not in pattern map → manual pattern."
hemo,2,"family (kin group, relatives as a unit)",N,hemo,,,,a-,false,false,,"hem- kinship-family head. a- (living/person, matches chel/mamae/famae). Distinguish hemra (relative, individual), hemsa (home)."
hemsa,2,"home, dwelling",N,hemsa,,,,ae-,false,false,,"hem- family (domestic). ae- (place/dwelling class, cf. rusome room). Distinct from hemo (family) a-, hemra (relative) a-."
pimafmae,3,grandfather,N,pimafmae,,,,a-,false,true,mono,pima (two-steps-back) + famae (father; surface fused as fmae). relational §III. a- (living).
pimamae,3,grandmother,N,pimamae,,,,a-,false,true,mono,pima (two-steps-back) + mamae (mother). relational §III. a- (living).
hytam,2,"brother, male sibling",N,hytam,,,,a-,false,false,,"bare kin root. a-. Matches lerra (sister). Gender-neutral ""sibling"" left open."
lerra,2,"sister, female sibling",N,lerra,,,,a-,false,false,,bare kin root. a-. Matches hytam (brother).
poboi,2,"baby, infant",N,poboi,,,,a-,false,false,,"Infant/very-young carve beneath chel (child). a- (living). Not po+boi (po=PART, boi not a root)."
hemra,2,"relative, kinsman or kinswoman",N,hemra,,,,a-,false,false,,"individual related person; hem- family. Distinct from hemo (family, the group) a-. a- (living)."
tiha,2,"aunt, auntie",N,tiha,,,,a-,false,false,,"parent's sister. ti- aunt/uncle carve (ties to titam uncle). a- (living). Not ti (you, PRON)+ha (no such root)."
titam,2,uncle,N,titam,,,,a-,false,false,,"parent's brother. ti- aunt/uncle carve (ties to tiha aunt). a- (living). Echoes tam (male) at d=2, tolerated."
agnu,2,lamb,N,agnu,,,,a-,false,false,,"Bare root (ag/nu not roots; no sheep root exists yet). a- (animal/living class, matches hawu animal, mau cat, aufe bird)."
lodin,2,"flatness, a flat surface / flat, of a surface/shape",NA,lodin,,lodins,,o-,false,false,,"lo- flat family head. NA (not A-only) so the o- prefix is stored. o- (abstract/geometric, matches lanko/lanfo shape family). Carve: terrain-flat = aedin (ae-); lodin = geometric/material flatness."
lodintek,3,"level, spirit level",N,lodintek,,,,e-,false,true,mono,lodin (flat) + tek (instrument). instrument. e- (crafted).
lodam,2,"balance, equilibrium / to balance, keep level / balanced, even, steady / in balance, evenly",NVAD,lodam,lodam,lodams,lodams,o-,false,false,,"lo- balance family. o- (abstract). Distinct from lodintek (spirit level, tool) and lodamtek (scales)."
lodamtek,3,"libra, scales (weighing balance)",N,lodamtek,,,,e-,false,true,mono,lodam (balance) + tek (instrument). instrument. e- (crafted).
laedin,2,"horizon, skyline",N,laedin,,,,ae-,false,false,,Bare root (la not a root). d=1 from aedin (plain/flat) carved: horizon = far edge of flat plain where it meets the sky. ae- (earth/terrain).
loden,2,"to judge, pass judgment",V,,loden,,,o-,false,false,,"lo- justice family. V-only → no colour prefix stored (add.py clears prefix without an N sense; the o- reading is dropped). Distinct from lodenmae (person), lodenpar (judgment)."
lodenmae,3,"judge, umpire, adjudicator",N,lodenmae,,,,a-,false,true,mono,"loden (to judge) + maeha (person). agent. a- (living, matches kiromae/tamae)."
lodenpar,3,"judgment, verdict",N,lodenpar,,,,o-,false,true,mono,loden (to judge) + par (process). o- (abstract; user chose over process-head e- convention).
lodici,3,"trial, legal proceeding",N,lodici,,,,o-,false,false,,lo- justice family. o- (institutional/abstract).
lodicipos,4,"court, courthouse",N,lodicipos,,,,ae-,false,true,mono,"lodici (trial) + poska (location head, surface elided to pos). location. ae- (matches bau pos/kirapos)."
tlowtek,2,clock,N,tlowtek,,,,e-,false,true,mono,tlow (time) + tek (instrument). instrument. e- (crafted).
nomikpos,3,school,N,nomikpos,,,,ae-,false,true,mono,"nomik (study) + poska (location head, surface pos). location. ae-."
nomikmae,3,scholar,N,nomikmae,,,,a-,false,true,mono,nomik (study) + maeha (person). agent. a- (living).
nofa,2,"learning, scholarship / to learn",NV,nofa,nofa,,,o-,false,false,,"no-/nom- education family. NV so o- is stored. o- (abstract, matches nomik). Distinct from nomik (study)."
nofamae,3,"student, learner",N,nofamae,,,,a-,false,true,mono,nofa (learn) + maeha (person). agent. a- (living).
nofsy,2,"teaching, instruction / to teach",NV,nofsy,nofsy,,,o-,false,false,,Bare root (nof not a root; sy = grammar particle). Causative twin of nofa (learn). NV so the o- family prefix is kept.
nofsykira,4,textbook,N,nofsykira,,,,e-,false,true,mono,"nofsy (teach) + kira (book). relational §III (kira not in auto-pattern map — manual), mirrors theskira. e- (crafted book)."
cetik,2,science / scientific,NA,cetik,,cetiks,,o-,false,false,,Bare root (ce/tik/cet not roots). Carve at d=1 from mik (study head): cetik = the knowledge discipline. o-. Kept as science; -mik subject merging deferred.
cetikmae,3,scientist,N,cetikmae,,,,a-,false,true,mono,cetik (science) + maeha (person). agent. a- (living).
nofsymae,3,teacher,N,nofsymae,,,,a-,false,true,mono,nofsy (teach) + maeha (person). agent. a- (living).
wimon,2,"number, a count or quantity",N,wimon,,,,o-,false,false,,"wi- numeracy family head. o- (abstract count-concept). Near-collision wino/colour (d=2), kilon-pronouns (d=2) — diff domain/POS, tolerated."
wibom,2,"calculation, computing a result / to calculate, work out",NV,wibom,wibom,,,o-,false,false,,wi- numeracy family. Abstract operation. Carve vs wibar (compute). Near-collision wino (d=2) tolerated.
wibar,2,"computation / to compute, process by rule",NV,wibar,wibar,,,o-,false,false,,"wi- numeracy family. Near-synonym carve vs wibom (formal/computational). d=1 winar (eye/see, u-) — diff domain, tolerated."
wimonik,3,"mathematics, the study of number",N,wimonik,,,,o-,false,true,mono,wimon + mik (study). o- matches -mik head. mik NOT in COMPOUND_PATTERN_MAP — Pattern/Rule Ref supplied manually.
wibomis,3,"arithmetic, the method of calculation",N,wibomis,,,,o-,false,true,mono,wibom + mlis (surface -is). Discipline reading o- (over method-head e-). mlis NOT in COMPOUND_PATTERN_MAP — manual Pattern/Rule Ref.
wibomtek,3,"calculator, a calculating instrument",N,wibomtek,,,,e-,false,true,mono,"wibom + tek instrument. e- (crafted, matches kirotek/tlowtek). Auto-pattern fires (tek last)."
wiborum,3,"plan, a calculated course of action",N,wiborum,,,,o-,false,true,mono,wibom + rum (that which is soon coming) = reasoned plan for the future. rum head o-. Precedent resrum (o-).
wibartek,3,"computer, a computing machine",N,wibartek,,,,e-,false,true,mono,wibar + tek instrument. e- (crafted).
wimonikmae,4,"mathematician, one who does mathematics",N,wimonikmae,,,,a-,false,true,mono,Flattened 3-root (wimon+mik+maeha) since wimonik is itself a compound. maeha agent → a-.
wima,2,"a count, tally / to count, enumerate",NV,wima,wima,,,o-,false,false,,"wi- numeracy family. d=1 cluster (ima/pima/lima) — all diff domain, tolerated. Base of reckoning/account block."
wimarem,3,"reckoning, settling of accounts / to reckon, to count up (the past) into a settlement",NV,wimarem,wimarem,,,o-,false,true,mono,wima + rem (former) = counting what was/passed = reckon/settle accounts. rem already a live component root (resrem). o-.
imuwimarem,5,"to settle scores later, to get even, deferred reckoning",V,,imuwimarem,,,o-,false,true,mono,"imu (future) + wima + rem (flattened, since wimarem is a compound) = future reckoning = get-even-later. V-only → prefix drops to -- (matches lofen)."
wimakira,4,"account, ledger, the written record of counting",N,wimakira,,,,e-,false,true,mono,wima + kira (book) = the account-book / record. kira head e- (crafted).
wimaremmae,4,"reckoner, one who settles accounts",N,wimaremmae,,,,a-,false,true,mono,Flattened 3-root (wima+rem+maeha) since wimarem is a compound. agent a-. carve vs wimakirmae.
wimakirmae,4,"accountant, one who keeps accounts",N,wimakirmae,,,,a-,false,true,mono,Flattened 3-root (wima+kira+maeha) since wimakira is a compound. agent a-. Carve distinct from wimaremmae (one who settles).
thyram,2,wisdom / wise,NA,thyram,,thyrams,,e-,false,false,,thy- thinking family (thy think/thinking = e-). Wisdom = deep thinking. e- (family). Near-collision hytam (d=2) tolerated.
thyramik,3,"philosophy, the study of wisdom",N,thyramik,,,,o-,false,true,mono,"thyram + mik study-of → o-. mik not in map, manual."
thyramikmae,4,"philosopher, one who studies wisdom",N,thyramikmae,,,,a-,false,true,mono,Flattened 3-root (thyram+mik+maeha) since thyramik is a compound. agent a-.
thymae,2,"thinker, one who thinks",N,thymae,,,,a-,false,true,mono,thy (thinking) + maeha agent. a-.
wita,2,life / to live,NV,wita,wita,,,a-,false,false,,Living/animate register → a- (matches hawu/mau/fein).
paeti,2,"a turn, twist / to turn, twist / turning, twisting / turningly, in a twist",NVAD,paeti,paeti,paetis,paetis,o-,false,false,,"motion, action. o-. Near-collisions gaeth/hasti/pei/paroi (d=2) — all diff domain."
eknim,2,leg / to walk,NV,eknim,eknim,,,u-,false,false,,ek- leg-family head. u- (external body class). V = to walk (intrinsic to legs; no separate walk root).
ekmut,2,thigh,N,ekmut,,,,u-,false,false,,ek- leg family. u- (external body).
eksim,2,knee,N,eksim,,,,u-,false,false,,"ek- leg family. u-. Near-collision posim/nation (d=2), diff domain, tolerated."
ekdor,2,calf (lower leg),N,ekdor,,,,u-,false,false,,ek- leg family. u-. Component of shinbone (ekdorokre).
ekpae,2,ankle,N,ekpae,,,,u-,false,false,,ek- leg family. u-.
ekbod,2,feet,N,ekbod,,,,u-,false,false,,ek- leg family. u- (external). Plural-form noun for the feet.
ekhil,2,toe,N,ekhil,,,,u-,false,false,,ek- leg family. Bare root (ek/hil not stored) = foot-finger; hil- finger family not yet materialised. u-.
okre,2,bone,N,okre,,,,u-,false,false,,Bone — user override to u- (not internal a-). Head component of the shin/femur compounds.
ekdorokre,4,"shinbone, shin",N,ekdorokre,,,,u-,false,true,mono,ekdor (calf) + okre (bone) = the calf's bone. Bone head u- (per override).
ekmutokre,4,"femur, thighbone",N,ekmutokre,,,,u-,false,true,mono,ekmut (thigh) + okre (bone) = thigh-bone. u-.
ekmae,2,"pedestrian, a person on foot",N,ekmae,,,,a-,false,false,,ek- family but person-class → a- (user-locked over the u- family lean). d=1 to ekpae (ankle) tolerated (different referent inside carved family).
ekke,2,"lameness, a limp / lame, limping",NA,ekke,,ekkes,,u-,false,false,,"ek- family u-. N sense added to keep the prefix. d=1 to ikke (closed, o-) cross-domain, tolerated."
ektoi,2,"a run, running / to run",NV,ektoi,ektoi,,,u-,false,false,,ek- family u-. General locomotion; distinct from ekfir (sprint).
ekber,2,"a jump, a leap / to jump, to leap",NV,ekber,ekber,,,u-,false,false,,ek- family u-.
ekfir,2,"a sprint, a fast run / to sprint, to run fast",NV,ekfir,ekfir,,,u-,false,false,,ek- family u-. Carve vs ektoi: max-effort pace.
ekkae,2,"a kneel, kneeling / to kneel, to go down on one knee",NV,ekkae,ekkae,,,u-,false,false,,"ek- family u-. d=1 to ekpae (ankle) and ekke (lame) — carved-family packing, tolerated."
eklun,2,"a crawl, crawling / to crawl",NV,eklun,eklun,,,u-,false,false,,ek- family u-.
ekkor,2,"a step, a tread / to step on, to tread on",NV,ekkor,ekkor,,,u-,false,false,,"ek- family u-. d=1 to ekdor (calf) — different POS/referent, tolerated. Distinct from ekkup (stomp)."
ekkup,2,"a stomp, a stamp of the foot / to stomp, to stamp",NV,ekkup,ekkup,,,u-,false,false,,"ek- family u-. Carve vs ekkor: forceful trample. d=2 to kup (cut, e-) cross-domain, silent."
ekkum,2,"a squat, squatting / to squat",NV,ekkum,ekkum,,,u-,false,false,,"ek- family u-. d=1 to ekkup (stomp) batch-internal, tolerated."
hinhil,2,finger,N,hinhil,,,,u-,false,false,,"hil-/hin- hand & digit family, u- (matches hinar hand u-). Fossilised onset, not hin+hil (hin = side, unrelated). No near-collisions."
hilfa,2,"index finger, forefinger / to point at, to point to",NV,hilfa,hilfa,,,u-,false,false,,"hil- family u-. The pointing finger. d=2 to hilora (expose, u-) cross-domain, silent."
blap,1,"a clap, a handclap / to clap",NV,blap,blap,,,u-,false,false,,"hand-action u-. NV keeps prefix. d=2 to blon (collapse) cross-domain, silent."
hilmodir,3,thumb,N,hilmodir,,,,u-,false,false,,hil- family u-. No near-collisions.
hilsenok,3,middle finger,N,hilsenok,,,,u-,false,false,,"Reads ""mid-digit"" (senok=middle) but hil is not a stored root → bare root, compositional reading in Notes only. u-. No near-collisions."
hilfoidir,3,ring finger,N,hilfoidir,,,,u-,false,false,,hil- family u-. No near-collisions.
hildoir,2,"little finger, pinky",N,hildoir,,,,u-,false,false,,"Reads ""little-digit"" (doir=little) but hil not a root → bare root. u-."
hinod,2,palm (of the hand),N,hinod,,,,u-,false,false,,"hin- hand region u-. d=2 to hin (side, ae-)/hinar (hand) — cross-referent tolerated."
hinat,2,wrist,N,hinat,,,,u-,false,false,,"hin- hand region u-. d=1 to hinar (hand) — same-domain packed, tolerated."
hilpae,2,elbow,N,hilpae,,,,u-,false,false,,"hil- family, arm-region extension, u-."
auwae,2,weather,N,auwae,,,,i-,false,false,,"Atmospheric i- family (elmin, hu, hupli, auron). Bare root."
tlerahup,3,thunderstorm,N,tlerahup,,,,i-,false,true,mono,"""thunder falls"" (tlera i- + hup fall). Referential atmospheric → i-, not the hup head's o-."
shali,2,"washing, a wash / to wash",NV,shali,shali,,,i-,false,false,,"Water-based action → i- (lira water). d=1 to shili (river) cross-domain, silent."
shaliklamtek,4,washing machine,N,shaliklamtek,,,,e-,false,true,mono,wash+cloth+instrument. e- crafted. NAME CHANGED from shalikamtek (kam not a root) → shaliklamtek (klam=cloth exists).
marip,2,"spout, a pipe outlet",N,marip,,,,e-,false,false,,"e- crafted fixture. Bare root (user's carve splitting spout from faucet). d=2 to mai/maliu cross-domain, silent."
limarip,3,"faucet, tap",N,limarip,,,,e-,false,true,mono,water+spout. lira elides to li- in surface (famae→fmae pattern). e-.
urim,2,inspiration / to inspire,NV,urim,urim,,,o-,false,false,,Abstract o-.
urimlise,4,"revelation, divine inspiration",N,urimlise,,,,o-,false,true,mono,"inspire+divine-ordering = god-inspired. o- (matches lise root + all -lise words; y- divine offered, user chose o-)."
ureti,3,enlightenment,N,ureti,,,,o-,false,false,,"Abstract o-. d=2 to paeti (turn) cross-domain, silent."
aurk,1,"club, a social membership group",N,aurk,,,,a-,false,false,,"Social group of people → a- (song, hemo). d=1 hits (auk eight/NUM, aura/auri/aurok celestial) all cross-domain+POS, silent."
aurk pos,2,club house,N,aurk pos,,,,ae-,false,true,multi,location head → ae-. Mirrors bau pos / hamin pos.
rech,1,"era, an epoch, a historical period / of an era, epochal",NA,rech,,rechs,,ae-,false,false,,"New bare root, ae- (USER OVERRIDE from o-, matches -ron age-period family ron ae-). Carve vs ron (age/life-period) — era is the epoch/epochal span. Near-collision rem (d=2, former, o-) — diff sense, tolerated. Precedes its ima/ime/imu compounds in-batch."
imarech,3,"the present era, modern times / modern, of the present era",NA,imarech,,imarechs,,ae-,false,true,mono,"ima (present) + rech (era) = present era. ae- (USER: -rech compounds ae-, head-inherit rech). ima not in COMPOUND_PATTERN_MAP → no pattern stored (matches imaroi). NA."
imerech,3,"the ancient past, antiquity / ancient, of the remote past",NA,imerech,,imerechs,,ae-,false,true,mono,"ime (past) + rech (era) = past era, ancient. ae- (USER override). No pattern (ime not in map). NA."
imurech,3,"the future era; the time of the next generation / of the future era, future",NA,imurech,,imurechs,,ae-,false,true,mono,"imu (future) + rech = future era, the age to come. ae- (USER override). No pattern (imu not in map). NA."
imerech mae,4,"the ancient people, people of the remote past",N,ime rech mae,,,,a-,false,true,multi,"Multi-word (user-locked): mono `imerechmae` hit Rule 2b (rech's ch is an edge-only coda; maeha is consonant-initial, no repair vowel). Stored `ime rech mae` (ime+rech+maeha; imerech is a compound so it flattens to 3 roots; maeha→mae elides in surface). maeha IS in COMPOUND_PATTERN_MAP → auto-pattern agent fires; a- person class (USER: imerechmae is the exception to the ae- -rech rule). N-only."
elmaf,2,"lightness, small weight / light, light in weight, not heavy",NA,elmaf,,elmafs,,o-,false,false,,"elmaf takes the MAIN meaning of light-in-weight (antonym of gytan); onla (u-, leaves) keeps its side-sense but does not block — elmaf is the dedicated lightweight quality. o- (abstract quality)."
gilen,2,"hardness, firmness / hard, firm, resistant to pressure",NA,gilen,,gilens,,y-,false,false,,"y- (USER override, mineral/ore family giliu/gilith/galith y-). Near-collision gilan (mountain, ae-, d=1) — diff domain (landform vs quality), tolerated."
gytan,2,"heaviness, great weight / heavy, of great weight",NA,gytan,,gytans,,o-,false,false,,"Antonym of elmaf. o- (abstract quality). Near-collisions gilan (mountain, d=2), hytam (brother, d=2) — diff domains, tolerated."
redut,2,"a meeting, an encounter / to meet, to encounter",NV,redut,redut,,,o-,false,false,,"New bare root. o-. No near-collision hits. NV to hold o- prefix. Carve vs ilsinkoi (gather together, a-) — meet = encounter, not assemble."
taldong,2,"bell, a struck or ringing instrument",N,taldong,,,,e-,false,false,,"e- (crafted struck instrument, matches kirotek pen / tlowtek clock) over music u-. N-only (concrete object). No near-collision."
fech,1,feather,N,fech,,,,u-,false,false,,"u- (USER OVERRIDE from a-, bird-part/plumage reads as body-class u- like ek-/hil-). fei=fly (i-), fein=bird (a-) family; a feather is the fly-body part. N-only."
fecir,2,wing,N,fecir,,,,u-,false,false,,"u- (USER OVERRIDE, plumage/fly-body class). Sibling to fech feather. N-only. Near-collision fei/fein (d=2, bird/fly domain) — different part-vs-act referent, tolerated."
eflom,2,"eagle, bird of prey",N,eflom,,,,a-,false,false,,"a- (living/animal class, matches hawu/mau/aufe/fein). N-only. No near-collision."
gouwu,2,"chicken, domestic fowl",N,gouwu,,,,a-,false,false,,"a- (living/animal class). N-only. Near-collision gou (d=2, aspect particle, function word) — diff class, tolerated."
blawu,2,sheep,N,blawu,,,,a-,false,false,,"a- (living/animal class, matches agnu lamb). Carve: blawu = adult sheep, agnu = lamb (young). N-only. Near-collisions bau (build) / blap (clap) / hawu (animal, d=2) — hawu cross-referent (general vs specific), tolerated."
nofil,2,education / to educate,NV,nofil,nofil,,,o-,false,false,,"o- (education family nofa/nofsy/nomik o-). Fossilised nof- onset (bare root, not nof+il; il = stop, unrelated). Carve vs nofsy (teach — the direct instruction) / nofa (learn) — nofil = the broader schooling/education. NV holds o-."
nofilmae,3,educator,N,nofilmae,,,,a-,false,true,mono,"nofil + maeha agent. a- (person class, like nofamae/nofsymae/nomikmae). maeha in map → auto-pattern agent. N-only."
turete,3,"territory, an area under a jurisdiction",N,turete,,,,ae-,false,false,,"ae- (earth/land class). USER CONFIRMED carve: territory ≠ country (poskae) — territory = the governed/claimed expanse, poskae = country as land. Distinct root, not a dupe. Near-collision ureti (enlightenment, d=2) — diff domain, tolerated."
sympei,2,"grail, a holy vessel",N,sympei,,,,y-,false,true,mono,"sym (god, y-) + pei (cup, e-) = holy cup / grail. y- (USER override: divine register, matches sym/siklatif) over the pei-cup head's e-. Relational (content-root descriptor compound). N-only. Now possible because sym exists (previously grail deferred)."
oma,2,"meat, animal flesh as food",N,oma,,,,a-,false,false,,"a- (organic/animal-derived, matches the living/animal register). N-only. Near-collisions ema (true, d=1) / ima (present, d=1) / ma (internal) — all diff domains (epistemic/time/body), tolerated."
grom,1,brain,N,grom,,,,u-,false,false,,"u- (USER OVERRIDE from internal-body a-, to hug the ek-/body u- set; cf. bone u-). Internal organ. N-only. Many d=2 hits all cross-domain (aron/os/rem/grid etc.) — tolerated."
feirah,2,"freedom, liberty / free, at liberty / freely",NAD,feirah,,feirahs,feirahs,o-,false,false,,"o- (abstract quality). Root. Near-collision feimae (d=2, bird-person) — diff domain, tolerated. NAD (abstract)."
feirahrin,3,"degree of freedom, extent of liberty",N,feirahrin,,,,o-,false,true,mono,"feirah (free) + rin (degree, o-) = the measured degree. o-. SPELLING: feirahrin (single r after feirah; user-corrected). N-only. rin is a stored root (o-)."
elli,2,"coast, the land along a sea",N,elli,,,,ae-,false,false,,"ae- (earth/land class). Root. Near-collision eli (life, a-, d=1) — diff domain (landform vs life), tolerated. Carve vs ellash (shore) below."
ellash,2,"shore, the immediate water's edge / beach",N,ellash,,,,ae-,false,false,,"ae- (earth/land class). Root. Carve: elli = the coastal land strip, ellash = the immediate shoreline/beach at the water. No near-collision."
ilat,2,"proofness, resistance to an agent / proof, resistant, impervious",NA,ilat,,ilats,,o-,false,false,,o- (abstract quality). Head of the waterproofing compounds (ilatlira/ilatfora/ilathes/ilathewes). Root. Many d=2 hits all cross-domain — tolerated. NA.
ilatlira,4,"waterproofness / waterproof, water-resistant",NA,ilatlira,,ilatliras,,o-,false,true,mono,"ilat (resistant) + lira (water) = waterproof. o- (USER: head ilat property → o-, over the lira-water i-). Relational. NA."
ilatfora,4,"fireproofness / fireproof, fire-resistant",NA,ilatfora,,ilatforas,,o-,false,true,mono,"ilat (resistant) + fora (fire) = fireproof. o- (USER: head ilat → o-, over fora-fire a-). Relational. NA."
ilathes,3,"insulation / insulated, insulating",NA,ilathes,,ilathess,,o-,false,true,mono,"ilat (resistant) + thes (electricity) = insulation (proof against current). -t + th- surface merge → ilathes: the merged t+th leaves a vowel before th, so Rule 2b (generalized, surface-aware) allows it. o- (head ilat property, matching ilatlira/ilatfora/ilathewes). NA."
ilathewes,4,"insulator, an insulating material",N,ilathewes,,,,o-,false,true,mono,"Flatten of ilathes (compound) + wes → ilat+thes+wes (3-root, comp-as-component block). -wes collective of insulation = the insulating stuff. o- (USER). wes NOT in COMPOUND_PATTERN_MAP → supply Pattern/Rule Ref manually. N-only."
